department,salary,years,performance,training_hours,attrition
Finance,69797.85495842906,17,2.9721866947483093,62.81521994345958,0
HR,76718.65093607141,15,3.1090687427730606,5.776068723528276,0
HR,72144.08623733182,23,2.6879833003619864,13.351755575239732,0
IT,69177.36497330175,15,1.074359483187746,3.102029372185795,0
HR,36632.55061240856,0,3.024737529901753,52.8083103310062,0
IT,31188.08436861608,11,2.8211975305831913,37.50564213810041,0
IT,41011.26431833292,21,2.0959419103333077,6.384021961576858,0
Finance,53339.60573712054,8,1.7044162327770707,49.22097073220711,0
HR,119298.21558321909,18,2.1511141213364624,67.48624448823477,0
HR,79404.39623805361,5,3.8372188269795364,12.255577033424903,0
IT,75492.32965952781,16,1.1758928964618685,35.523165968141235,0
Sales,82108.34620338623,10,2.389919120124798,32.370060904162514,0
Finance,58811.03920823433,22,2.2492362292708243,34.35885539582506,0
HR,110155.61964350811,19,4.8771956418628015,48.87738990680312,0
HR,78711.11763656727,2,4.74942352190316,2.769481162095957,0
Finance,44508.69751050961,6,2.204219461664777,49.66207763301061,0
HR,77598.48056012654,10,1.3686467261606396,46.37068133555566,0
IT,104882.91121249391,12,4.746365431412796,33.35050828521667,0
Finance,45498.89282839325,18,4.149930744455788,79.57177384106745,0
Finance,47726.49111943401,5,1.7466248059905292,18.937858340677536,0
HR,77601.10639374284,13,1.1147288909677449,70.16270667775306,0
Sales,75466.8301754726,23,2.53729627277417,38.41097152970207,0
Finance,57730.727577730955,12,3.542089615371023,1.2860812251981724,0
IT,112379.28588683275,8,1.2815807468612697,79.29838796023007,0
Sales,36424.104529857825,21,2.013279091488357,2.4359615870257567,0
IT,95337.64635516488,17,3.277206580894031,44.649532802595935,0
Finance,66293.83867595288,19,1.1237607652901418,60.21318003281047,0
Sales,46246.2059063192,23,3.5655944629631517,29.39690600852159,0
HR,87239.95865362445,13,4.489956884008959,7.523626590087025,0
Sales,81460.78681744086,23,4.561075897076938,77.68044104092158,0
Sales,90866.95664697733,21,4.79472157270866,50.853070300017635,0
HR,99925.1479766008,2,4.389934905203166,2.030701000903612,0
Finance,108288.02715972609,19,2.5053278866892965,60.00875457934808,0
Finance,119298.9661330963,19,4.205789931136218,23.452493949897146,0
Sales,59459.25314742625,16,4.015678160659747,27.182905605231813,0
HR,54869.98371612518,24,4.119674609517137,50.84636362772014,0
Sales,99892.24974398236,15,2.0714723575550633,79.66793563087893,0
Sales,94868.30601063755,22,1.6595501973664977,55.61297692944548,0
HR,90397.4587078579,12,3.9872518963178782,26.774250516079245,0
IT,97173.5590200089,13,2.704410728655472,53.70616863229263,0
Finance,78687.82510164716,0,4.463295618223929,33.07877680759867,0
IT,42357.15070047704,20,1.5392439587599944,67.74960383660648,0
Finance,108452.35640738103,6,2.3400837875822713,42.83484380481632,0
Sales,104929.58749096391,14,4.990485893958926,23.4534303393718,0
IT,110131.67481456867,12,2.412590353233228,70.20578982385324,0
Sales,68552.04396349311,17,2.0771302053285803,1.3140320691088192,0
IT,110114.64313584665,5,2.570042165222648,43.25532598274946,0
HR,96651.05358777232,8,4.849577640893139,15.50614335145272,0
Finance,106888.94706401504,23,1.8103853562007437,47.638676159873654,0
HR,67051.90861806183,18,4.823854183221972,7.958762010731064,0
IT,63946.59229500605,1,4.3880232464249485,0.9815472267016379,0
Sales,93938.88198264432,19,1.3870833969014025,77.24869198671041,0
IT,56584.304502035564,6,2.9890112332364605,41.056858216864676,0
IT,55509.33007956454,21,1.8512384387771852,53.225949094357254,0
HR,59607.42741596223,7,1.9925657771850678,7.491894634993255,0
Sales,97809.08098685871,7,4.9095062467034545,29.893494529528326,0
Sales,118531.3465001553,22,3.7842657399593653,37.53483272487472,0
HR,39785.478259367585,11,2.0748746367071442,19.288664437509368,0
IT,44708.78677371648,10,2.1602490755663655,48.98173906435514,0
Sales,92855.3830905601,14,3.004037548087285,49.71662966792378,0
HR,116021.80826554738,10,2.5548677233262933,57.48027547222914,0
IT,66192.99294652021,8,3.1412031338192214,22.549483892320517,0
Finance,64917.28265110843,10,3.549531561382467,8.187826259595541,0
HR,75960.49449303621,4,1.6674163656984513,15.898749232658167,0
Finance,110514.08077022093,24,3.4329424714797563,66.9700225486813,0
Finance,109874.43635459535,0,1.5437079235098872,12.598082496149168,1
Sales,80348.11798591728,19,2.8347626388502443,71.19176617467826,0
Finance,32535.201586977182,0,1.9739281175948316,14.398615578265721,1
Finance,105137.02118170675,9,2.4169389412984637,49.22312743060628,0
IT,67853.26931642629,11,4.090489452592767,10.921110084217345,0
Finance,52312.32757011764,12,2.212935927119653,20.550295682483302,0
HR,112736.16993846511,3,4.205621575209941,15.587649649597157,0
Finance,114317.76850263205,0,1.7419733574459055,79.72193446546002,1
Sales,87205.91777386295,9,3.13115402186954,1.891887991547776,0
Finance,32535.46764355591,19,1.9926142494106345,11.954225608029931,0
IT,54127.20652821139,24,2.5535143271314253,0.5561337371147346,0
HR,33685.57600549366,21,4.1385627380825,44.479338214421475,0
IT,70158.17877218881,7,4.163483810090705,21.640029410498975,0
IT,63485.23166874273,6,1.5214135758391665,46.37994002694549,0
HR,47853.267401799465,1,1.8108768773973498,48.98625021418625,1
Sales,119542.49419473254,15,2.5903748951478933,51.107622087154695,0
Sales,87537.14926770961,23,1.4642421512233077,48.484737206999014,0
Sales,95155.3986207132,23,4.211735461526926,8.78510203910924,0
Sales,32199.4841058203,22,3.4972267323164004,61.027587489501954,0
HR,57709.81037898478,5,1.3641595744026311,79.40777534489811,0
Sales,31277.199718869535,23,4.900312799025409,29.224253220580508,0
Finance,80695.4983426492,13,3.0184294867498593,47.91800902599456,0
Sales,79605.75608915303,7,4.900646241355345,14.97102601487045,0
Finance,112741.8655853221,3,3.60589361137651,38.257079075168086,0
Finance,106482.87503961613,9,1.7979771504043187,37.491462498040526,0
HR,80589.03499397048,5,2.0556356403217144,0.9226049501433575,0
HR,106196.59089639598,13,4.538469787173938,58.11942287972184,0
Finance,114247.97834145265,11,1.5544097549802118,2.923008609029676,0
HR,93034.42544699577,11,2.8140730667474014,15.996358459782654,0
Sales,52416.91510760977,24,4.156169016924078,13.323475182772606,0
Finance,116223.72372176261,12,2.6746763181372106,44.014062646372125,0
HR,103189.97727349674,20,3.127236470229017,39.55727123605011,0
Finance,118471.27380196242,4,4.145614112308186,65.90140233650732,0
HR,92274.49640034622,22,2.810791121967881,66.96680241424697,0
Sales,39004.87336518487,9,2.90862054236536,77.76200109603651,0
IT,99360.2174769574,3,1.3243007021768851,70.60664583878958,0
IT,31198.62982177637,10,1.9898911372852153,56.78849124695859,0
Finance,34739.2029321766,14,4.5852581679182,17.59298195744382,0
IT,87827.07786324405,2,1.0429406000690058,62.07727010084267,1
Sales,109569.52114516293,11,2.7545112448387945,19.08271534393335,0
Finance,37441.98713360284,18,3.2172885933269706,16.409014392061174,0
HR,87830.69181409046,13,2.037785369918335,10.414222464504839,0
Finance,56215.29844904196,5,3.3034184906479553,73.0659136442256,0
IT,32620.435930372158,17,2.2006759471267765,24.479184232327526,0
Sales,59776.444322219395,22,1.961611268188268,11.454179721007351,0
Finance,114734.34877836543,4,3.389561856247992,40.65615930159027,0
Finance,33400.573620109906,19,2.8744137263911345,57.78249698204675,0
Finance,88275.07556241269,8,3.6753778685921064,29.250715122071107,0
IT,90593.68684571813,5,4.923550331133182,41.04129768770533,0
Finance,93763.82237772501,24,3.704347527272476,11.173979773697162,0
Finance,90084.23680452077,16,2.8671524273747693,60.80907029300665,0
IT,92774.33054769578,5,3.1226572733232874,20.100271775020868,0
HR,52974.22978990496,7,1.7211404501480496,41.82831903033957,0
Finance,70130.48212297929,12,3.681231249497265,70.51123772271114,0
IT,60027.25993194191,13,3.785034410890752,49.13003657192907,0
Sales,53404.39638119722,13,3.8576954590296726,58.341759003306834,0
Finance,76754.93622565892,19,4.461272813344997,71.31525845266037,0
Finance,115673.75031964557,14,1.0230999317225353,0.9752703859601919,0
Sales,66458.26021810225,4,2.7117123017763527,23.473435707275243,0
Finance,50847.95409811962,16,3.917726463665781,68.7684309475745,0
HR,90437.9001830982,22,2.442393893555921,46.46843089512673,0
Sales,73123.37149152986,15,4.668739414482861,16.2513191776441,0
Finance,32989.42736912619,18,1.6815836712536592,53.493864339036925,0
Finance,113226.75550446629,12,2.6530500685463476,47.49748911884755,0
IT,63318.337511962556,16,3.6450773412987334,17.95085525639122,0
IT,42866.0666032016,17,2.082299249869676,19.896952362124757,0
Sales,96077.50659694188,23,2.1113813264541186,40.833877215950345,0
Finance,90826.4142089892,9,4.807468679296653,61.193017553846815,0
Finance,69313.11237194829,8,4.511812020194688,71.78422458097333,0
Finance,42485.5294098001,24,3.855803818932053,51.231009444159774,0
Finance,45184.96157627901,17,1.6644885299111842,25.564601443508288,0
Finance,84414.31105782962,21,1.722714078920943,62.94726982447088,0
Finance,104344.74692481858,12,4.34726168927226,2.7882000244759464,0
HR,70591.35248938671,15,2.808439107645134,57.636296554321476,0
Sales,89678.0266596539,18,4.144180179564415,71.46998246223643,0
IT,114643.4037886081,12,2.7459184501560476,77.54255072613482,0
Sales,44925.41969339084,7,1.2239814920295817,53.3531665471895,0
Sales,105906.020040478,24,4.355456914468787,70.6152568241137,0
Finance,94291.26684316808,22,2.220232116397863,17.23555102407584,0
IT,34162.470839404254,16,1.2620973157387931,47.577561021821836,0
HR,30200.8151752795,21,4.18513660939816,34.275031094127996,0
IT,37984.45116046575,1,3.0915338376741044,61.57259140742532,0
IT,110507.93237600186,20,2.4334615852965924,15.246924355299978,0
IT,78155.68612244315,21,4.554425861304841,12.860711732391836,0
HR,45083.286755224704,14,2.0568530351009144,10.198740274480489,0
Sales,60325.207597257584,14,4.987988132242943,6.250092781246144,0
IT,64108.70757447879,7,1.6775161720149265,54.89281998170676,0
HR,99282.907308383,13,4.075108792936266,16.26179687485587,0
IT,53240.62323473183,6,4.230433721085841,52.38876543327068,0
IT,114997.0218117586,1,3.8758441625146958,77.47224123324854,0
HR,87969.27823730666,8,4.212544947465873,4.280191055779188,0
Finance,114114.3351134359,10,2.3769401993489176,44.70151592088222,0
Finance,106235.8410735973,6,1.7787384878639623,44.94897269074471,0
Sales,55504.26119840689,4,3.9962808914424492,16.318745697248307,0
HR,97560.6809794556,10,2.934497443525101,60.37832212646278,0
HR,66585.20819231827,7,3.8681197411063937,44.480791308758576,0
IT,102128.74053339261,10,1.826865532079236,0.9954517113624917,0
IT,70891.02895909568,20,3.4323518581367325,51.54435011589542,0
HR,44331.48173759815,3,3.5344466591614325,32.024513565701454,0
HR,64877.96162015869,24,2.3098464568072665,17.84608244603559,0
Finance,57260.203513070934,24,3.777164173889668,58.176584939291736,0
HR,111612.10175107296,21,1.600137023495182,68.85004350685266,0
Sales,118688.08566169706,16,4.307735116727753,25.05073299671592,0
IT,40498.7307236857,20,2.2600305463064836,56.053644610527044,0
IT,95398.02235202811,4,4.613111333743123,30.54921300997681,0
IT,34946.53730461546,24,1.7019423085654077,53.59450599695374,0
Finance,70249.27899470637,8,4.740617556403709,30.329449845569265,0
Sales,119365.43801156327,9,3.1961896640705247,18.9733267483855,0
Finance,84665.47060345583,18,1.6383272060291407,66.24259151839934,0
HR,41331.842883474645,6,1.879707112685833,75.63912291503878,0
Finance,41668.21184814686,20,4.3146725388959215,6.820687859917456,0
Sales,70838.06368553289,18,1.5945816143154894,59.328449780910134,0
IT,57967.257666379766,15,2.0192792699028224,10.812367459807417,0
IT,76403.55738023939,20,3.277598030256441,1.0848822583685092,0
Sales,31039.304883017114,2,1.5770962929621541,40.07789412468456,1
Sales,100136.86863782305,0,2.1010049429077244,38.334930687808175,1
IT,58074.24954701708,8,2.275616027142512,79.35401674735573,0
IT,65929.1099067881,14,3.7000830923668366,55.63331832424794,0
Finance,119763.658154855,6,3.1327180902075025,69.91553177718657,0
Sales,101570.67103558504,20,2.944363990499262,24.703172049504786,0
Finance,31900.09977383653,18,1.4534838696887231,69.2925154435421,0
Finance,45041.88357944433,7,4.710391892398253,43.84319155226589,0
Sales,118524.95057001,3,1.3450662212642066,52.13909879879704,0
Sales,108901.22397861307,9,3.5600358767222575,12.726324423979882,0
HR,37784.5695449111,7,4.003559756354212,48.170268641610065,0
Sales,69678.40363116021,3,4.374160451827507,35.201674365831394,0
Finance,40069.57759295732,15,2.7873291655169217,37.37829952720791,0
IT,96631.40310879379,8,2.0271680101546345,46.07608810896557,0
Sales,92303.42678953083,4,1.2954322598582095,35.26179816393746,0
Sales,98694.9326282377,11,1.9102889637165514,71.98394103897157,0
Finance,77439.95470207052,7,3.3732183836636875,22.170966800455165,0
Sales,103014.81286109256,9,2.7727721156650107,72.75559036303028,0
Sales,53175.73097357142,3,3.132035335238941,8.441886199966344,0
Finance,100318.82389435645,20,2.9148132271958844,8.338463975537387,0
Sales,59840.049540238426,6,2.2638880994204706,25.406354092901218,0
IT,73144.83968443156,19,1.7491582315554894,71.74348896806207,0
Sales,109762.54062823685,8,1.185868252956261,46.22007408945622,0
IT,35792.002699367236,11,3.218090070977381,67.27561313321164,0
HR,47979.066440970884,15,4.455592993925548,44.7240340436733,0
IT,41176.6136225304,4,1.961724424939821,4.98362864474001,0
IT,94783.78501979778,13,1.6750235815766308,49.771077113107765,0
Sales,100578.64590157101,12,2.1558767050091157,77.63615832902406,0
IT,42359.01001838275,5,2.902668648033682,49.43855026159235,0
HR,53010.47200095483,13,3.585654193275553,27.873111277761062,0
Sales,62819.75133739302,1,4.468211027050865,74.86366144448213,0
Finance,54304.64806420778,20,2.532926329533493,41.87732806641857,0
IT,45222.21981054584,7,3.065793130229402,40.59160664925525,0
IT,73832.80542816324,12,4.694453715970651,51.27920604113153,0
Sales,41618.18027017082,2,1.9636064587260114,47.68254167912065,1
Finance,104767.25303906476,0,1.9107345693101339,3.632920900045198,1
IT,48966.070931099486,4,1.3456472156888624,22.606293541762312,0
HR,114760.28625724619,13,3.027308004162878,37.65509140075893,0
Sales,119744.64630402053,22,1.8279285475031055,72.69344721646536,0
IT,108162.19049031667,2,4.524204958136016,76.7353027953688,0
Finance,76004.03665082497,24,3.195170518889964,73.74579582443442,0
HR,98461.44618677463,21,1.7591091693039007,53.902081633212035,0
HR,79453.74959103746,21,1.778457794465759,44.056655830027196,0
Finance,97461.19415674491,13,4.572364896551461,72.80480716844599,0
Finance,68607.18642965922,11,2.045465938364757,0.10962957785157101,0
Finance,89534.40686984459,13,3.1862355706128587,20.105551493575476,0
Finance,31280.36650615042,2,1.9203772706689666,54.98118549400346,1
HR,78518.78016341847,2,1.1730410661792732,44.690545215879204,1
IT,88772.73046893576,0,1.9071640202572921,48.06042218524485,1
HR,54790.351609924546,19,2.7590719547435816,33.57513245490012,0
HR,63624.46816696014,2,3.486929091982979,5.032696650775614,0
Finance,59681.844580882826,24,1.4089488793464704,74.63260447987176,0
HR,74980.59722571468,22,3.720330634876452,5.849850231763201,0
IT,54212.44993460578,9,3.201123592255975,37.64111347855497,0
HR,106581.77222462923,13,1.5073539293440756,41.66883419335583,0
Finance,73926.84009068063,1,2.836360473490899,14.683819503268456,0
Finance,40543.13063796457,19,2.595511147685415,52.76515045593132,0
HR,88325.6166282912,22,1.3561747101964197,57.32133240695887,0
Finance,60325.52582371083,3,1.2622634428570008,5.336346012229081,0
Finance,33374.16516716936,5,4.725826332561278,44.9171477976498,0
Finance,82266.88433228186,19,1.2373319921921677,49.21841485846567,0
Sales,54420.06552130115,18,1.0185426441845244,55.155379317760804,0
IT,59549.563124196095,21,1.2061184866608379,66.0245531314308,0
HR,65011.444625529664,14,2.4383412347471434,71.11896886466343,0
HR,113437.13371942699,6,3.358508927779252,27.878810787911927,0
Sales,56926.5685430347,20,1.5261209091519263,68.46450228018129,0
HR,115670.38340175647,19,3.2761194213937577,79.5989092449401,0
Finance,32672.0750547205,4,2.7435055497268808,73.15215101570175,0
Finance,54933.99590179934,0,3.016572082033883,42.596949486915,0
HR,55207.976995366334,23,3.398884552015509,51.33324337727365,0
Finance,102384.76958660413,12,4.129344913184937,45.48785618183369,0
Sales,71042.48661335147,11,2.7618535312974117,29.507299500372923,0
Finance,95337.43817991533,3,2.3917433243028463,59.46105176910643,0
Finance,86476.12314364343,17,3.9616215320041124,40.274298995243605,0
IT,84863.63227107623,10,4.088768827539696,43.95253229561465,0
IT,80819.50195247243,14,2.5602853614544347,1.6646106384805481,0
HR,40972.44996003293,16,1.6975104575942739,78.95689084932677,0
Sales,30523.94563464291,21,2.4040884538158944,9.966244470215342,0
Sales,37123.278337287484,17,2.891033002140606,39.71087782907618,0
Sales,52208.17020998768,5,1.785735810690377,74.3370063052385,0
Sales,63193.637900117086,17,2.063298076305703,49.032782543003734,0
Finance,54039.916663530676,0,3.4486132183209777,9.449353616498701,0
IT,112669.20373022903,5,2.4860995390555685,18.46155965293084,0
Finance,111139.34178276251,22,4.840731723645344,46.19820813742825,0
IT,41940.05086905906,0,4.037744830604774,5.5155141183595635,0
Finance,53161.285127471376,6,1.5809309304867898,69.04337838072058,0
Finance,95008.28966695101,22,3.2372157850687775,44.49390763290783,0
IT,91611.97884231262,8,2.5086620843923737,69.42885039397594,0
HR,61224.04169073903,21,2.392587243464953,3.6718572771097246,0
HR,90840.13076807128,24,2.6689725359697127,69.31152275808331,0
Finance,80945.55529644323,23,3.1885421802058542,39.2198896592721,0
Finance,94137.18155221772,18,1.6623127453786513,15.631144547535873,0
Finance,95520.35190656022,24,3.2882132768033268,18.041562112907606,0
HR,37637.03522142094,11,2.218542490349673,0.7953925188968736,0
HR,45721.62176062816,21,4.947397436509357,56.616482640268146,0
Finance,36071.56615486955,5,4.701124321869676,65.23923696274707,0
Sales,40601.95653892916,10,1.2112719263911913,15.257787648845005,0
Sales,41940.9296691667,13,1.0813459138132369,2.106288780683183,0
HR,30222.299979522697,21,1.2637066147090694,58.24994958466755,0
IT,103079.33154340535,7,3.9141887834671483,4.504673834796744,0
HR,100753.19858974496,2,1.4062767418219932,61.39710283267151,1
Sales,88535.80042188126,17,1.584486315784436,72.62435141155925,0
Sales,74677.267727229,21,4.234506888748088,71.61896695480762,0
HR,54571.66368715688,19,2.5026545625510237,2.2180684223534897,0
HR,113812.68547903535,24,4.470539712894645,44.42626069292007,0
Sales,95910.2439428401,2,4.258653135475863,2.322250992495727,0
Finance,75507.63571148185,3,1.5461005644254358,39.14802917520565,0
Finance,52077.003885907194,18,3.9901224285641375,23.482029648122804,0
Sales,112744.2696546958,15,1.6872498768009465,56.985462322563876,0
Finance,34179.9115340152,3,1.125183366527764,34.06818073619077,0
Sales,101385.82054272591,17,4.825205131317425,44.975668710559226,0
Sales,78604.6951025014,5,1.1707542058738079,11.804368463544224,0
IT,30529.99279442469,17,1.4140124210125773,23.69737319848264,0
IT,58078.82164330258,8,3.5900277729838757,62.38448302033805,0
HR,57259.28335459059,7,2.498533661790704,26.53919318884938,0
HR,42685.908137246515,1,1.2847194735240532,44.204186716316435,1
Sales,52126.94941748623,24,1.4322996107877883,15.752910103963194,0
Sales,84297.06971581033,0,3.726552515443339,34.70377416063406,0
HR,32520.964706428353,13,3.014005911809048,7.610746415777356,0
Sales,49372.407964533326,9,3.9641313878523357,21.557600534480237,0
IT,86354.49801329002,2,4.35869871286055,17.574449815330915,0
Finance,100052.16778177535,7,3.1316942242235246,79.43989607701346,0
IT,56292.434679095255,10,4.722187307083335,47.05532440360997,0
HR,36716.95651536658,3,2.9838781979230253,47.320570038800504,0
Sales,64197.56046095819,15,2.204078261568086,35.1361993396738,0
Sales,72656.64014102111,5,2.9800125940793847,15.439306828223378,0
Finance,47149.88917643339,22,3.560241523348883,20.896402925894826,0
IT,37658.06454315233,0,2.0045119185457936,67.32150923797185,1
Finance,36495.455757560914,13,2.159405883485852,32.53149754488487,0
IT,100969.64608245342,17,4.315584781880106,77.95309979750772,0
Finance,71857.14428349494,7,3.6562605237459596,11.326557160196176,0
HR,105018.47527104297,18,4.551119581128281,17.236171658145185,0
Finance,52111.85310364105,8,3.9144651757155438,58.80838126052498,0
Sales,60017.299441939336,16,2.040345201067312,7.719851662344164,0
HR,118989.45423381562,8,2.4559928695103266,64.17631166590893,0
IT,109734.84144385067,9,4.874957006379576,39.63112439026362,0
Sales,100125.58392495806,1,2.839290262906421,59.181040855099155,0
Finance,81496.63188648774,15,2.8303664104152784,9.496826422873363,0
Finance,42195.43324661533,14,3.5890970907017388,18.486739061729196,0
HR,33915.3121943565,2,1.9924655289236624,38.542794530107614,1
HR,70092.9382796915,3,2.153332573088484,36.7444761623021,0
Finance,50247.07710928547,13,2.602333640183857,0.9947700903950008,0
IT,77012.44629944194,13,2.204569810427294,46.01139683680725,0
IT,85280.06162472662,21,1.835482197071252,23.6901230329359,0
Finance,85175.77289898298,20,4.653694872332174,41.650690672805545,0
IT,64975.11886115142,2,2.971223211159446,16.37834166856571,0
HR,84490.07979396236,20,2.4152568960380827,74.74081208423146,0
HR,41203.4658084076,23,4.040893352843426,37.35058299648364,0
IT,40835.98124819614,2,3.768037285831343,60.39268268565305,0
IT,82494.26713598904,17,1.019068999207871,42.14753704590949,0
HR,46609.43298715666,18,3.6416592853083847,7.856642317075897,0
Sales,114828.09967998201,21,3.12618289347914,3.8724062646910618,0
Finance,31341.331766566203,20,4.516038208369732,44.29685093547828,0
Finance,107474.6033394406,21,2.6913889573903824,17.482769382473897,0
Finance,114331.89946223707,14,1.6044863335770265,68.422544206006,0
Sales,83707.00793282766,16,2.057501588389853,40.08125028747921,0
IT,87235.80447342788,3,4.728427641425365,23.56038183175988,0
Sales,57370.17995789836,7,1.0524267763397637,52.454231837880116,0
HR,95586.53457995845,11,4.140332075913264,32.58316380939264,0
IT,45903.57791234345,24,3.159330887518563,61.46977891082144,0
IT,46783.2981466453,24,4.6651618959258165,38.92800259387475,0
IT,69996.65332743042,19,4.396729055273498,50.90271824023506,0
Finance,94513.44043082176,7,2.5671106487955258,28.99844022831082,0
IT,38128.73350127574,23,2.60249769449188,4.328349130279294,0
IT,46657.05158725122,22,4.226292139840837,34.02102661176077,0
Finance,90449.96295224986,10,1.8067187267105997,40.85067284312797,0
IT,76078.3160982382,3,2.3613536101880834,54.2025317505626,0
Sales,85480.51848542468,16,3.2838272291814588,74.48268968350118,0
Finance,79281.81165364388,22,2.6141570908570335,21.63111625597546,0
Sales,90550.33536964141,5,3.6515471818248604,5.0163303171317875,0
Finance,82139.62064671442,18,3.3853066303470025,64.06097994869026,0
HR,85843.04707224142,21,1.8017553957142125,71.76638781954269,0
Sales,110783.90272716821,20,1.6885896408799415,30.083639242965887,0
HR,68112.69883897594,15,1.2929322729358854,76.99081838465636,0
Sales,34949.047572490075,17,3.628729459896345,7.601929812990589,0
IT,37418.04379227812,5,3.1670173046401375,42.61981275771939,0
HR,115273.24745095277,13,2.5881732919354095,11.03118541468847,0
Sales,110579.21859859125,2,2.6412690358506326,63.53204478268603,0
Sales,114843.79880387167,6,1.9327471746584584,75.39278646087767,0
Finance,97986.42648355554,15,4.760592571899821,47.00333615979116,0
Finance,86200.08976831599,11,4.293174632794925,67.40854663554208,0
Sales,103328.26854581566,6,3.3344645961087345,56.43476239367391,0
Sales,116062.55025155211,2,3.4625693166714453,74.9469482420372,0
Sales,89190.23978562267,0,2.3574040944329986,18.02344101598419,1
IT,99748.5378784019,3,1.1663901360975562,11.452059793137161,0
Sales,50144.958497898464,2,1.3713848302480716,50.91938940993724,1
IT,117248.09866560462,2,4.903262861290573,44.75854363331052,0
IT,113157.3547387253,6,4.3444697778188335,71.31182474236238,0
Finance,59719.74696637405,0,2.8479298841985923,77.32220715754022,0
HR,35741.47210622028,24,2.9795936170280948,55.16360455888695,0
Finance,102507.81404626467,0,3.7783148787147645,55.57409258737168,0
Finance,112857.33541994874,18,4.02487481447747,39.02477217834835,0
Finance,82143.2429144767,2,3.619534082526301,58.8800237525814,0
Sales,35815.17886790325,17,4.612236611651835,0.7740871292431528,0
IT,90230.88200984203,8,2.09194717020445,7.9083515254489,0
Finance,67832.281910728,13,3.0763655719953595,30.328495728018716,0
IT,119116.02892133703,20,1.022058824064017,33.07900068490494,0
Sales,75062.9023851518,12,4.116916660537566,76.49104963931754,0
IT,31198.323294814603,1,4.2786832750344574,11.112265490092419,0
Sales,53873.852921905156,6,3.112169681491525,69.91915832438892,0
HR,51644.87549186401,9,2.3835313089155497,45.237574843428746,0
IT,100081.57056093901,22,2.9028093521742715,53.55974465937432,0
HR,118029.40725586846,11,4.717143672515055,1.4459840181079997,0
IT,103259.62346939805,20,1.732605941239565,74.3227127146107,0
IT,102773.61361672412,0,1.207026214495143,56.14412793011813,1
HR,86680.0382683842,10,3.9469784540457096,59.4277413707792,0
IT,31207.675224116163,3,1.54159685073326,72.4100039610185,0
Sales,93927.91844851515,24,3.5381364228113785,40.34480951579758,0
Finance,89140.39865184636,4,2.2179086237907235,54.76058838263948,0
IT,79542.88337744056,10,3.554498880287683,79.19198773308304,0
Sales,52977.76491947452,3,4.092428355756398,60.96304856713864,0
Finance,90397.29828080037,3,3.271834154261255,71.67184598780943,0
IT,113487.34217866819,2,3.467240087067111,42.643387005944504,0
HR,61078.71304353347,2,2.757247653727537,0.13853901742727714,0
Sales,30544.764991338503,19,3.612687357152035,63.19109708205626,0
IT,109264.37833030144,9,3.2575114861202037,43.55870051886315,0
